(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\ELBDCSGRO324\DNS\Total Response Sent/sec,\\ELBDCSGRO324\DNS\Total Query Received/sec
9/12/2016 12:00:00, , 
9/12/2016 12:00:15,2.268941677,2.268941677
9/12/2016 12:00:30,3.664957487,3.664957487
9/12/2016 12:00:45,2.868306446,2.868306446
9/12/2016 12:01:00,3.065225706,3.065225706
9/12/2016 12:01:15,2.534764871,2.534764871
9/12/2016 12:01:30,3.731586759,3.731586759
9/12/2016 12:01:45,2.868303979,2.868303979
9/12/2016 12:02:00,2.532141311,2.532141311
9/12/2016 12:02:15,2.801580737,2.801580737
9/12/2016 12:02:30,3.864889361,3.864889361
9/12/2016 12:02:45,3.335225625,3.335225625
9/12/2016 12:03:00,3.198492752,3.198492752
9/12/2016 12:03:15,3.135123985,3.135123985
9/12/2016 12:03:30,5.197522218,5.197522218
9/12/2016 12:03:45,3.131861839,3.131861839
9/12/2016 12:04:00,3.001716504,3.001716504
9/12/2016 12:04:15,2.86530252,2.86530252
9/12/2016 12:04:30,3.335244694,3.335244694
9/12/2016 12:04:45,2.798684341,2.798684341
9/12/2016 12:05:00,6.603769125,6.603769125
9/12/2016 12:05:15,2.332230113,2.332230113
9/12/2016 12:05:30,3.401923769,3.401923769
9/12/2016 12:05:45,2.931954357,2.931954357
9/12/2016 12:06:00,3.001737159,3.001737159
9/12/2016 12:06:15,2.398854287,2.398854287
9/12/2016 12:06:30,3.935597202,3.935597202
9/12/2016 12:06:45,3.465026108,3.465026108
9/12/2016 12:07:00,2.267953368,2.267953368
9/12/2016 12:07:15,2.532145406,2.532145406
9/12/2016 12:07:30,2.935023499,2.935023499
9/12/2016 12:07:45,3.598271245,3.598271245
9/12/2016 12:08:00,2.132309156,2.132309156
9/12/2016 12:08:15,2.4681053,2.4681053
9/12/2016 12:08:30,2.732046375,2.732046375
9/12/2016 12:08:45,3.602040851,3.602040851
9/12/2016 12:09:00,2.132341542,2.132341542
9/12/2016 12:09:15,2.934994244,2.934994244
9/12/2016 12:09:30,2.598786197,2.598786197
9/12/2016 12:09:45,3.535349717,3.535349717
9/12/2016 12:10:00,2.132318263,2.198953208
9/12/2016 13:00:00, , 
9/12/2016 13:00:15,1.801478989,1.801478989
9/12/2016 13:00:30,3.931474315,3.931474315
9/12/2016 13:00:45,3.068429,3.068429
9/12/2016 13:01:00,2.598789809,2.598789809
9/12/2016 13:01:15,1.400792955,1.400792955
9/12/2016 13:01:30,4.264652584,4.264652584
9/12/2016 13:01:45,3.068409671,3.068409671
9/12/2016 13:02:00,2.665405036,2.665405036
9/12/2016 13:02:15,2.067861284,2.067861284
9/12/2016 13:02:30,3.998109372,3.998109372
9/12/2016 13:02:45,3.335220901,3.335220901
9/12/2016 13:03:00,2.532153341,2.532153341
9/12/2016 13:03:15,1.534202585,1.534202585
9/12/2016 13:03:30,4.397925533,4.397925533
9/12/2016 13:03:45,2.998588773,2.998588773
9/12/2016 13:04:00,2.067840463,2.134544994
9/12/2016 13:04:15,2.265610942,2.198975326
9/12/2016 13:04:30,3.335234485,3.335234485
9/12/2016 13:04:45,3.798194017,3.798194017
9/12/2016 13:05:00,5.069556802,5.069556802
9/12/2016 13:05:15,2.265604014,2.265604014
9/12/2016 13:05:30,2.935002857,2.935002857
9/12/2016 13:05:45,4.13138052,4.13138052
9/12/2016 13:06:00,2.001143121,2.001143121
9/12/2016 13:06:15,2.465512244,2.465512244
9/12/2016 13:06:30,2.868300496,2.868300496
9/12/2016 13:06:45,3.931487132,3.931487132
9/12/2016 13:07:00,2.067845014,2.067845014
9/12/2016 13:07:15,2.265586379,2.265586379
9/12/2016 13:07:30,2.798689716,2.798689716
9/12/2016 13:07:45,4.202378866,4.202378866
9/12/2016 13:08:00,2.132328232,2.132328232
9/12/2016 13:08:15,3.602068553,3.602068553
9/12/2016 13:08:30,2.798681794,2.798681794
9/12/2016 13:08:45,4.068970528,4.068970528
9/12/2016 13:09:00,2.065705138,2.065705138
9/12/2016 13:09:15,2.267969089,2.267969089
9/12/2016 13:09:30,3.464552172,3.464552172
9/12/2016 13:09:45,4.335813057,4.335813057
9/12/2016 13:10:00,2.1323264,2.1323264
9/12/2016 14:00:01, , 
9/12/2016 14:00:16,1.867885596,1.867885596
9/12/2016 14:00:31,3.59829598,3.59829598
9/12/2016 14:00:46,3.401940465,3.401940465
9/12/2016 14:01:01,1.999064588,1.999064588
9/12/2016 14:01:16,3.135097733,3.135097733
9/12/2016 14:01:31,3.331782396,3.331782396
9/12/2016 14:01:46,4.736035365,4.736035365
9/12/2016 14:02:01,2.065690051,2.065690051
9/12/2016 14:02:15,4.002293532,4.002293532
9/12/2016 14:02:31,3.598285886,3.598285886
9/12/2016 14:02:45,3.868868283,3.868868283
9/12/2016 14:03:01,2.19897916,2.19897916
9/12/2016 14:03:15,2.934995432,2.934995432
9/12/2016 14:03:31,3.531698444,3.531698444
9/12/2016 14:03:46,3.931446993,3.931446993
9/12/2016 14:04:01,2.067849879,2.067849879
9/12/2016 14:04:16,3.265119106,3.265119106
9/12/2016 14:04:31,3.602070284,3.602070284
9/12/2016 14:04:46,3.998109776,3.998109776
9/12/2016 14:05:01,5.73659301,5.80329758
9/12/2016 14:05:16,2.998609537,2.93197377
9/12/2016 14:05:31,3.53531895,3.53531895
9/12/2016 14:05:46,4.131389708,4.131389708
9/12/2016 14:06:00,2.067848833,2.067848833
9/12/2016 14:06:16,3.065223073,3.065223073
9/12/2016 14:06:30,2.801606535,2.801606535
9/12/2016 14:06:46,3.598294525,3.598294525
9/12/2016 14:07:00,2.201253145,2.201253145
9/12/2016 14:07:16,2.598773062,2.598773062
9/12/2016 14:07:30,2.734886673,2.734886673
9/12/2016 14:07:46,4.731109481,4.797744826
9/12/2016 14:08:01,2.198981105,2.132345314
9/12/2016 14:08:16,2.468050667,2.468050667
9/12/2016 14:08:31,3.331770777,3.331770777
9/12/2016 14:08:46,4.335822709,4.335822709
9/12/2016 14:09:01,1.999065851,1.999065851
9/12/2016 14:09:16,2.468050355,2.468050355
9/12/2016 14:09:31,2.865325402,2.865325402
9/12/2016 14:09:45,3.735452039,3.735452039
9/12/2016 14:10:01,1.932436574,1.932436574
9/12/2016 15:00:01, , 
9/12/2016 15:00:16,51.57389877,51.57389877
9/12/2016 15:00:31,43.91285869,43.91285869
9/12/2016 15:00:46,23.27988076,23.27988076
9/12/2016 15:01:01,12.59412823,12.59412823
9/12/2016 15:01:16,19.01087552,19.01087552
9/12/2016 15:01:31,95.15521227,95.15521227
9/12/2016 15:01:46,99.92329654,99.92329654
9/12/2016 15:02:01,114.412702,114.412702
9/12/2016 15:02:16,91.98588345,91.98588345
