(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\ELBDCSNWH328\DNS\Total Response Sent/sec,\\ELBDCSNWH328\DNS\Total Query Received/sec
9/12/2016 14:06:46,48.30963813,48.30963813
9/12/2016 14:07:01,34.61905305,34.61905305
9/12/2016 14:07:16,65.23549939,65.23549939
9/12/2016 14:07:31,54.49779323,54.49779323
9/12/2016 14:07:46,44.37808626,44.37808626
9/12/2016 14:08:01,43.37964311,43.37964311
9/12/2016 14:08:16,59.56622622,59.56622622
9/12/2016 14:08:31,47.77727243,47.91054237
9/12/2016 14:08:46,43.95556093,43.88886054
9/12/2016 14:09:01,42.18196629,42.18196629
9/12/2016 14:09:16,50.89504616,50.89504616
9/12/2016 14:09:31,50.04247104,50.04247104
9/12/2016 14:09:46,41.2228311,41.2228311
9/12/2016 14:10:01,46.7111525,46.9776926
9/12/2016 15:00:01, , 
9/12/2016 15:00:16,68.70583247,68.97239244
9/12/2016 15:00:31,69.30315004,69.36978768
9/12/2016 15:00:46,84.05101622,84.05101622
9/12/2016 15:01:01,65.62475132,65.69137543
9/12/2016 15:01:16,95.06693067,95.06693067
9/12/2016 15:01:31,55.23840585,55.37167101
9/12/2016 15:01:46,74.24433794,74.44445745
9/12/2016 15:02:01,67.96560908,68.03224203
9/12/2016 15:02:16,66.50369393,66.37028632
9/12/2016 15:02:31,38.51567269,38.51567269
9/12/2016 15:02:46,42.29031405,42.35701802
9/12/2016 15:03:01,39.91415965,39.84752499
9/12/2016 15:03:16,53.09619393,53.09619393
9/12/2016 15:03:31,52.17450825,52.17450825
9/12/2016 15:03:46,44.09174426,44.09174426
9/12/2016 15:04:01,45.84421786,45.84421786
9/12/2016 15:04:16,82.62672419,82.62672419
9/12/2016 15:04:31,37.55434423,37.55434423
9/12/2016 15:04:46,38.24169957,38.24169957
9/12/2016 15:05:01,54.50552328,54.50552328
9/12/2016 15:05:16,49.6438045,49.6438045
9/12/2016 15:05:31,48.68403012,48.81741103
9/12/2016 15:05:46,75.17868336,75.1120356
9/12/2016 15:06:01,84.58030776,84.71371518
9/12/2016 15:06:16,77.16294666,77.02967732
9/12/2016 15:06:31,61.76807251,61.76807251
9/12/2016 15:06:46,51.97512548,51.97512548
9/12/2016 15:07:01,38.88813518,38.88813518
9/12/2016 15:07:16,69.29986995,69.29986995
9/12/2016 15:07:31,71.1059365,71.1059365
9/12/2016 15:07:46,59.17219105,59.17219105
9/12/2016 15:08:01,59.36558735,59.4322154
9/12/2016 15:08:16,67.17707968,67.24378979
9/12/2016 15:08:31,57.43931828,57.50595322
9/12/2016 15:08:46,46.55927652,46.69268419
9/12/2016 15:09:01,38.84536176,38.97862201
9/12/2016 15:09:16,39.22456979,39.3579867
9/12/2016 15:09:31,49.70718075,49.90707558
9/12/2016 15:09:46,64.03873584,64.17214987
9/12/2016 15:10:01,62.30268249,62.36931638
9/12/2016 16:00:01, , 
9/12/2016 16:00:16,51.15337452,51.22006732
9/12/2016 16:00:31,33.71721954,33.85048918
9/12/2016 16:00:46,31.21729786,31.35070512
9/12/2016 16:01:01,29.51927389,29.65254375
9/12/2016 16:01:16,43.49065599,43.35724907
9/12/2016 16:01:31,38.24835445,38.24835445
9/12/2016 16:01:46,36.62051572,36.62051572
9/12/2016 16:02:01,51.37463115,51.37463115
9/12/2016 16:02:16,44.691956,44.691956
9/12/2016 16:02:31,35.11574985,35.11574985
9/12/2016 16:02:46,38.22170817,38.22170817
9/12/2016 16:03:01,39.51478717,39.51478717
9/12/2016 16:03:16,34.21262412,34.21262412
9/12/2016 16:03:31,37.7222878,37.7222878
9/12/2016 16:03:46,35.28631401,35.28631401
9/12/2016 16:04:01,46.03460168,46.1678422
9/12/2016 16:04:16,28.8203945,28.8203945
9/12/2016 16:04:31,32.78422127,32.85085587
9/12/2016 16:04:46,42.31182465,42.24519185
9/12/2016 16:05:01,36.22127376,36.22127376
9/12/2016 16:05:16,41.31340112,41.31340112
9/12/2016 16:05:31,41.62321041,41.62321041
9/12/2016 16:05:46,36.1160173,36.18265202
9/12/2016 16:06:01,34.01885863,33.95215499
9/12/2016 16:06:16,37.64829168,37.64829168
9/12/2016 16:06:31,57.36450214,57.36450214
9/12/2016 16:06:46,33.58421841,33.58421841
9/12/2016 16:07:01,32.01824124,32.01824124
9/12/2016 16:07:16,38.78090303,38.78090303
9/12/2016 16:07:31,51.89638402,51.89638402
9/12/2016 16:07:46,42.37924515,42.37924515
9/12/2016 16:08:01,31.31842967,31.31842967
9/12/2016 16:08:16,31.14917328,31.14917328
9/12/2016 16:08:31,32.85199458,32.85199458
9/12/2016 16:08:46,28.94977898,28.94977898
9/12/2016 16:09:01,61.37064522,61.37064522
9/12/2016 16:09:16,45.22461896,45.22461896
9/12/2016 16:09:31,32.11750582,32.25077348
9/12/2016 16:09:46,28.34962469,28.28291969
9/12/2016 16:10:01,36.31598264,36.38261747
9/12/2016 17:00:01, , 
9/12/2016 17:00:16,38.35043234,38.55052155
9/12/2016 17:00:31,27.85345625,28.05336144
9/12/2016 17:00:46,34.94883596,35.14892471
9/12/2016 17:01:01,43.64260044,43.57597052
9/12/2016 17:01:16,44.166129,44.166129
9/12/2016 17:01:31,64.63534764,64.63534764
9/12/2016 17:01:46,45.75052178,45.75052178
9/12/2016 17:02:01,42.58012061,42.58012061
9/12/2016 17:02:16,62.30329771,62.30329771
9/12/2016 17:02:31,38.18164275,38.18164275
9/12/2016 17:02:46,28.68278061,28.68278061
9/12/2016 17:03:01,26.32055705,26.32055705
9/12/2016 17:03:16,36.48706108,36.48706108
9/12/2016 17:03:31,29.25277977,29.25277977
