(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\ELBDCSGRO331\DNS\Total Response Sent/sec,\\ELBDCSGRO331\DNS\Total Query Received/sec
9/12/2016 14:07:01,127.0708167,127.1375205
9/12/2016 14:07:16,170.1849572,170.1183225
9/12/2016 14:07:31,315.7599436,315.8266441
9/12/2016 14:07:46,219.8386638,219.8386638
9/12/2016 14:08:01,216.7348079,216.6681818
9/12/2016 14:08:16,199.8035467,199.8702591
9/12/2016 14:08:31,131.6026425,131.6692768
9/12/2016 14:08:46,99.77539391,99.64200435
9/12/2016 14:09:01,150.5484397,150.5484397
9/12/2016 14:09:16,136.0095261,136.0095261
9/12/2016 14:09:31,104.816025,104.816025
9/12/2016 14:09:46,120.8611068,120.9945075
9/12/2016 15:00:01, , 
9/12/2016 15:00:16,118.5123014,118.5123014
9/12/2016 15:00:31,84.55943978,84.55943978
9/12/2016 15:00:46,94.5193732,94.5193732
9/12/2016 15:01:01,115.2780642,115.3446989
9/12/2016 15:01:16,115.8644014,115.8644014
9/12/2016 15:01:31,107.4813654,107.4147309
9/12/2016 15:01:46,123.8684956,123.9351992
9/12/2016 15:02:01,103.4177277,103.3510926
9/12/2016 15:02:16,164.885233,164.885233
9/12/2016 15:02:31,139.0046762,139.0046762
9/12/2016 15:02:46,278.7561986,278.8229026
9/12/2016 15:03:01,92.82221439,92.82221439
9/12/2016 15:03:16,92.65142419,92.58472051
9/12/2016 15:03:31,91.55571942,91.6889883
9/12/2016 15:03:46,109.9475226,109.8142528
9/12/2016 15:04:01,145.3309283,145.3976244
9/12/2016 15:04:16,135.4834239,135.4167818
9/12/2016 15:04:31,140.8789462,140.9456502
9/12/2016 15:04:46,77.96227787,77.89564344
9/12/2016 15:05:01,91.31756993,91.38427378
9/12/2016 15:05:16,92.821966,92.75533142
9/12/2016 15:05:31,365.2719525,365.2719525
9/12/2016 15:05:46,171.5838605,171.650495
9/12/2016 15:06:01,404.6917721,404.7584759
9/12/2016 15:06:16,314.7816796,314.6484104
9/12/2016 15:06:31,210.1838522,210.1838522
9/12/2016 15:06:46,68.16664171,68.16664171
9/12/2016 15:07:01,84.2478697,84.2478697
9/12/2016 15:07:16,100.7514422,100.8847113
9/12/2016 15:07:31,279.0898761,279.0898761
9/12/2016 15:07:46,227.2230812,227.2230812
9/12/2016 15:08:01,326.7092133,326.7092133
9/12/2016 15:08:16,301.9007915,301.9007915
9/12/2016 15:08:31,112.2792714,112.2792714
9/12/2016 15:08:46,116.7989084,116.7989084
9/12/2016 15:09:01,124.8727461,124.9393804
9/12/2016 15:09:16,123.2689602,123.2022562
9/12/2016 15:09:31,110.5466894,110.5466894
9/12/2016 15:09:46,135.8086965,135.8754002
9/12/2016 15:10:01,85.02634686,85.159617
9/12/2016 16:00:00, , 
9/12/2016 16:00:16,93.10048274,93.23386452
9/12/2016 16:00:31,96.36082982,96.62738813
9/12/2016 16:00:46,112.4629281,112.5296321
9/12/2016 16:01:01,74.83044315,75.0969808
9/12/2016 16:01:16,52.42929652,52.16248076
9/12/2016 16:01:31,54.84016973,54.84016973
9/12/2016 16:01:46,49.96129591,49.96129591
9/12/2016 16:02:01,61.30456419,61.30456419
9/12/2016 16:02:16,79.57770095,79.6444048
9/12/2016 16:02:31,73.9627849,73.89615176
9/12/2016 16:02:46,248.2101938,248.2101938
9/12/2016 16:03:01,101.2835387,101.2835387
9/12/2016 16:03:16,49.09467545,49.09467545
9/12/2016 16:03:31,60.36930528,60.36930528
9/12/2016 16:03:45,68.43978775,68.43978775
9/12/2016 16:04:01,69.76536333,69.76536333
9/12/2016 16:04:16,104.6826265,104.6826265
9/12/2016 16:04:31,66.23699998,66.23699998
9/12/2016 16:04:46,58.17221788,58.17221788
