(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\ELBDCSNWH329\DNS\Total Response Sent/sec,\\ELBDCSNWH329\DNS\Total Query Received/sec
9/12/2016 12:08:30, , 
9/12/2016 12:08:45,0.066856898,0.066856898
9/12/2016 12:09:00,1.266059246,1.266059246
9/12/2016 12:09:15,1.133971437,1.133971437
9/12/2016 12:09:30,1.199416589,1.199416589
9/12/2016 12:09:45,0.40022523,0.40022523
9/12/2016 12:10:00,0.399803111,0.399803111
9/12/2016 12:10:15,0.800454703,0.800454703
9/12/2016 12:10:30,0.932870405,0.932870405
9/12/2016 12:10:45,0.867163334,0.867163334
9/12/2016 12:11:00,0.333172204,0.333172204
9/12/2016 12:11:15,0.133406378,0.133406378
9/12/2016 12:11:30,0,0
9/12/2016 12:11:45,0.266815963,0.266815963
9/12/2016 12:12:00,1.266042678,1.266042678
9/12/2016 12:12:15,0.266539496,0.266539496
9/12/2016 12:12:30,0.333521374,0.333521374
9/12/2016 12:12:45,0,0
9/12/2016 12:13:00,0.333521006,0.333521006
9/12/2016 12:13:15,0.79961231,0.79961231
9/12/2016 12:13:30,0.533634127,0.533634127
9/12/2016 12:13:45,0.599702582,0.599702582
9/12/2016 12:14:00,0.200112188,0.200112188
9/12/2016 12:14:15,0.33317662,0.33317662
9/12/2016 12:14:30,0,0
9/12/2016 12:14:45,1.199416539,1.199416539
9/12/2016 12:15:00,0.400226789,0.400226789
9/12/2016 12:15:15,0.599705442,0.599705442
9/12/2016 12:15:30,0.066704567,0.066704567
9/12/2016 12:15:45,0.466438422,0.466438422
9/12/2016 12:16:00,2.267947903,2.267947903
9/12/2016 12:16:15,0.399793726,0.399793726
9/12/2016 12:16:30,0.266547096,0.266547096
9/12/2016 12:16:45,0,0
9/12/2016 12:17:00,1.266055016,1.266055016
9/12/2016 12:17:15,0.800446141,0.800446141
9/12/2016 12:17:30,0.999519113,0.999519113
9/12/2016 12:17:45,0.40022445,0.40022445
9/12/2016 12:18:00,0.399804419,0.399804419
9/12/2016 12:18:15,0,0
9/12/2016 12:18:30,0.399806743,0.399806743
9/12/2016 13:00:01, , 
9/12/2016 13:00:16,5.268825074,5.268825074
9/12/2016 13:00:31,5.197337163,5.197337163
9/12/2016 13:00:46,1.267466984,1.267466984
9/12/2016 13:01:01,4.131304236,4.131304236
9/12/2016 13:01:16,0.867157117,0.867157117
9/12/2016 13:01:31,0.133264084,0.133264084
9/12/2016 13:01:46,0.266823705,0.266823705
9/12/2016 13:02:01,1.26579562,1.26579562
9/12/2016 13:02:16,0.400308047,0.400308047
9/12/2016 13:02:31,0.666349943,0.666349943
9/12/2016 13:02:46,0,0
9/12/2016 13:03:01,0.333186036,0.333186036
9/12/2016 13:03:16,1.06726902,1.06726902
9/12/2016 13:03:31,0.732975641,0.732975641
9/12/2016 13:03:46,0.333172168,0.333172168
9/12/2016 13:04:01,0.33351928,0.33351928
9/12/2016 13:04:16,0.399806056,0.399806056
9/12/2016 13:04:31,0.266813018,0.266813018
9/12/2016 13:04:46,1.199436807,1.199436807
9/12/2016 13:05:01,0.400222245,0.400222245
9/12/2016 13:05:16,0.333176945,0.333176945
9/12/2016 13:05:31,0.066703641,0.066703641
9/12/2016 13:05:46,0.599713444,0.599713444
9/12/2016 13:06:01,1.200278469,1.200278469
9/12/2016 13:06:16,0.666561654,0.666561654
9/12/2016 13:06:31,0.466927675,0.466927675
9/12/2016 13:06:46,0.133269946,0.133269946
9/12/2016 13:07:01,0.333515843,0.333515843
9/12/2016 13:07:16,0.26653801,0.26653801
9/12/2016 13:07:31,1.332698366,1.332698366
9/12/2016 13:07:46,0.200111816,0.200111816
9/12/2016 13:08:01,0.333168729,0.333168729
9/12/2016 13:08:16,0.60033568,0.60033568
9/12/2016 13:08:31,0.399812239,0.399812239
9/12/2016 13:08:46,1.133949741,1.133949741
9/12/2016 13:09:01,0.33317403,0.33317403
9/12/2016 13:09:16,0.266817132,0.266817132
9/12/2016 13:09:31,0.066634406,0.066634406
9/12/2016 13:09:46,0.333476551,0.333476551
9/12/2016 13:10:01,0.866367587,0.866367587
9/12/2016 14:00:01, , 
9/12/2016 14:00:16,0.399878048,0.399878048
9/12/2016 14:00:31,0.333170038,0.333170038
9/12/2016 14:00:46,0,0
9/12/2016 14:01:01,4.198067393,4.198067393
9/12/2016 14:01:16,1.267369993,1.267369993
9/12/2016 14:01:31,0.533080555,0.533080555
9/12/2016 14:01:46,0.533627862,0.533627862
9/12/2016 14:02:01,0.066634591,0.066634591
9/12/2016 14:02:16,0.266809852,0.266809852
9/12/2016 14:02:31,0.266543346,0.266543346
9/12/2016 14:02:46,1.400785263,1.400785263
9/12/2016 14:03:01,0.333170095,0.333170095
9/12/2016 14:03:16,1.133944495,1.133944495
9/12/2016 14:03:31,0.199910212,0.199910212
9/12/2016 14:03:46,0.400223071,0.400223071
9/12/2016 14:04:01,1.132784723,1.132784723
